"Year","World_rank","University_name","Region","Overall_score","International_student_ratio","Academic_reputation","Employer_reputation"
"2021","15","Tsinghua University","Beijing","89.2","29.7","98.2","98.6"
"2021","23","Peking University","Beijing","83.5","34.3","99.2","99.1"
"2021","34","Fudan University","Shanghai","79.9","46.3","84.7","92.5"
"2021","47","Shanghai Jiao Tong University","Shanghai","74.4","30.2","82.5","90.9"
"2021","53","Zhejiang University","Hangzhou","71.9","74.2","69.3","91.1"
"2021","93","University of Science and Technology of China","Hefei","60.8","6.1","53.9","19.9"
"2021","124","Nanjing University","Nanjing","53.7","9.5","59.7","23.4"
"2021","246","Wuhan University","Wuhan","37.8","8.5","38.2","53.7"
"2021","256","Tongji University","Shanghai","37.2","28.4","34.4","8.5"
"2021","260","Harbin Institute of Technology","Harbin","36.7","8.7","22.4","8.4"
"2021","263","Sun Yat-sen University","Guangzhou","36.4","6.3","35.4","33.7"
"2021","279","Beijing Normal University","Beijing","35.4","28.8","38.3","8.8"
"2021","303","Xi’an Jiaotong University","Xi'an","34.1","7.9","24.7","40.3"
"2021","323","Southern University of Science and Technology","Shenzhen","32.1","1.7","5.5","1"
"2021","377","Nankai University","Tianjin","29","6.8","23.6","4.9"
"2021","387","Shanghai University","Shanghai","28.6","6","24.5","8.7"
"2021","387","Tianjin University","Tianjin","28.6","4.4","18.3","3.9"
"2021","392","Beijing Institute of Technology","Beijing","28.4","8.4","20.7","12.5"
"2021","396","Huazhong University of Science and Technology","Wuhan","28.2","5.5","20","31.7"
"2021","432","Xiamen University","Xiamen","26.4","4.1","25.9","7"
"2021","446","University of Science and Technology Beijing","Beijing","25.8","3.6","18.1","4.3"
"2021","449","Beihang University (former BUAA)","Beijing","25.7","5.9","15","4.9"
"2021","462","South China University of Technology","Guangzhou","25.3","5.2","12.6","3.3"
"2021","485","Shandong University","Jinan","24.6","4.6","15.5","18.6"
"2021","493","Jilin University","Changchun","24.2","3.2","14.9","23.1"
"2021","493","Southeast University","Nanjing","24.2","4.8","12.2","3.9"
"2022","17","Tsinghua University","Beijing","89","26.3","98.6","97.6"
"2022","18","Peking University","Beijing","88.8","38.5","99.4","98.2"
"2022","31","Fudan University","Shanghai","82.6","45.5","84.8","89.1"
