"Year","World_rank","University_name","Region","Overall_score","International_student_ratio","Academic_reputation","Employer_reputation"
"2021","15","Tsinghua University","Beijing, China (Mainland)","89.2","29.7","98.2","98.6"
"2021","23","Peking University","Beijing, China (Mainland)","83.5","34.3","99.2","99.1"
"2021","34","Fudan University","Shanghai, China (Mainland)","79.9","46.3","84.7","92.5"
"2021","47","Shanghai Jiao Tong University","Shanghai, China (Mainland)","74.4","30.2","82.5","90.9"
"2021","53","Zhejiang University","Hangzhou, China (Mainland)","71.9","74.2","69.3","91.1"
"2021","93","University of Science and Technology of China","Hefei, China (Mainland)","60.8","6.1","53.9","19.9"
"2021","124","Nanjing University","Nanjing, China (Mainland)","53.7","9.5","59.7","23.4"
"2021","246","Wuhan University","Wuhan, China (Mainland)","37.8","8.5","38.2","53.7"
"2021","256","Tongji University","Shanghai, China (Mainland)","37.2","28.4","34.4","8.5"
"2021","260","Harbin Institute of Technology","Harbin, China (Mainland)","36.7","8.7","22.4","8.4"
"2021","263","Sun Yat-sen University","Guangzhou, China (Mainland)","36.4","6.3","35.4","33.7"
"2021","279","Beijing Normal University","Beijing, China (Mainland)","35.4","28.8","38.3","8.8"
"2021","303","Xi’an Jiaotong University","Xi'an, China (Mainland)","34.1","7.9","24.7","40.3"
"2021","323","Southern University of Science and Technology","Shenzhen, China (Mainland)","32.1","1.7","5.5","1"
"2021","377","Nankai University","Tianjin, China (Mainland)","29","6.8","23.6","4.9"
"2021","387","Shanghai University","Shanghai, China (Mainland)","28.6","6","24.5","8.7"
"2021","387","Tianjin University","Tianjin, China (Mainland)","28.6","4.4","18.3","3.9"
"2021","392","Beijing Institute of Technology","Beijing, China (Mainland)","28.4","8.4","20.7","12.5"
"2021","396","Huazhong University of Science and Technology","Wuhan, China (Mainland)","28.2","5.5","20","31.7"
"2021","432","Xiamen University","Xiamen, China (Mainland)","26.4","4.1","25.9","7"
"2021","446","University of Science and Technology Beijing","Beijing, China (Mainland)","25.8","3.6","18.1","4.3"
"2021","449","Beihang University (former BUAA)","Beijing, China (Mainland)","25.7","5.9","15","4.9"
"2021","462","South China University of Technology","Guangzhou, China (Mainland)","25.3","5.2","12.6","3.3"
"2021","485","Shandong University","Jinan, China (Mainland)","24.6","4.6","15.5","18.6"
"2021","493","Jilin University","Changchun, China (Mainland)","24.2","3.2","14.9","23.1"
"2021","493","Southeast University","Nanjing, China (Mainland)","24.2","4.8","12.2","3.9"
"2022","17","Tsinghua University","Beijing, China (Mainland)","89","26.3","98.6","97.6"
"2022","18","Peking University","Beijing, China (Mainland)","88.8","38.5","99.4","98.2"
"2022","22","The University of Hong Kong","","86.3","98.9","97.9","73.1"
"2022","31","Fudan University","Shanghai, China (Mainland)","82.6","45.5","84.8","89.1"
"2022","34","The Hong Kong University of Science and Technology","","82.2","89.2","84.2","60.7"
"2022","39","The Chinese University of Hong Kong (CUHK)","","80.3","91.8","88.8","56.7"
"2022","45","Zhejiang University","Hangzhou, China (Mainland)","77.4","63","71.2","91.5"
"2022","50","Shanghai Jiao Tong University","Shanghai, China (Mainland)","75.6","36.3","83.4","86.7"
"2022","53","City University of Hong Kong","","74.6","99.9","59.4","33"
"2022","66","The Hong Kong Polytechnic University","","69.1","81.3","67.1","42.9"
"2022","98","University of Science and Technology of China","Hefei, China (Mainland)","60.1","6.4","52.4","14.4"
"2022","131","Nanjing University","Nanjing, China (Mainland)","54.2","9.2","59.6","17.7"
"2022","211","Tongji University","Shanghai, China (Mainland)","42.5","37.1","35.4","10.4"
"2022","225","Wuhan University","Wuhan, China (Mainland)","40.4","8.1","39.2","46.8"
"2022","236","Harbin Institute of Technology","Harbin, China (Mainland)","39.6","8.5","24.1","9.6"
"2022","260","Sun Yat-sen University","Guangzhou, China (Mainland)","37.4","5.9","36.2","27.5"
"2022","270","Beijing Normal University","Beijing, China (Mainland)","36.7","26.7","38.5","8.4"
"2022","275","Southern University of Science and Technology","Guangzhou, China (Mainland)","36.5","2.1","6.8","1.7"
"2022","287","Hong Kong Baptist University","","35.5","99.6","18.5","13.8"
"2022","290","Xi’an Jiaotong University","Xi'an, China (Mainland)","35.1","5.6","23.1","41.7"
"2022","334","Huazhong University of Science and Technology","Wuhan, China (Mainland)","32.2","5","21.2","32.6"
"2022","334","Tianjin University","Tianjin, China (Mainland)","32.2","12.3","19.6","4.6"
"2022","358","Nankai University","Tianjin, China (Mainland)","30.9","5.3","22.9","5.2"
