"Year","World_rank","University_name","Region","Overall_score","International_student_ratio","Academic_reputation","Employer_reputation"
"2021","22","The University of Hong Kong","Pok Fu Lam, Hong Kong Island, Hong Kong SAR","83.7","98.9","98.1","76.3"
"2021","27","The Hong Kong University of Science and Technology","Clear Water Bay, Hong Kong SAR","82.1","88.9","85.2","63.6"
"2021","43","The Chinese University of Hong Kong (CUHK)","Central Ave, Sha Tin District, Hong Kong SAR","75.8","91.5","90.3","53.1"
"2021","48","City University of Hong Kong","Tat Chee Avenue, Kowloon, Hong Kong SAR","74.3","99","61.5","32.8"
"2021","75","The Hong Kong Polytechnic University","Hung Hom, Kowloon, Hong Kong SAR","65.8","80.2","66.3","40.8"
"2021","264","Hong Kong Baptist University","Kowloon Tong, Kowloon,, Hong Kong SAR","36.3","95.6","18.2","12.7"
"2022","22","The University of Hong Kong","Pok Fu Lam, Hong Kong Island, Hong Kong SAR","86.3","98.9","97.9","73.1"
"2022","34","The Hong Kong University of Science and Technology","Clear Water Bay, Hong Kong SAR","82.2","89.2","84.2","60.7"
"2022","39","The Chinese University of Hong Kong (CUHK)","Central Ave, Sha Tin District, Hong Kong SAR","80.3","91.8","88.8","56.7"
"2022","53","City University of Hong Kong","Tat Chee Avenue, Kowloon, Hong Kong SAR","74.6","99.9","59.4","33"
"2022","66","The Hong Kong Polytechnic University","Hung Hom, Kowloon, Hong Kong SAR","69.1","81.3","67.1","42.9"
"2022","287","Hong Kong Baptist University","Kowloon Tong, Kowloon,, Hong Kong SAR","35.5","99.6","18.5","13.8"
"2023","21","The University of Hong Kong","Pok Fu Lam, Hong Kong Island, Hong Kong SAR","87","98.7","97.4","62.9"
"2023","38","The Chinese University of Hong Kong (CUHK)","Central Ave, Sha Tin District, Hong Kong SAR","80.6","90.5","87.3","49.6"
"2023","40","The Hong Kong University of Science and Technology","Clear Water Bay, Hong Kong SAR","79.8","87.9","82","50.1"
"2023","54","City University of Hong Kong","Tat Chee Avenue, Kowloon, Hong Kong SAR","73.6","100","57.3","29.4"
"2023","65","The Hong Kong Polytechnic University","Hung Hom, Kowloon, Hong Kong SAR","69","80.7","66.1","37"
"2023","281","Hong Kong Baptist University","Kowloon Tong, Kowloon,, Hong Kong SAR","36.3","100","17","12.8"
