Year,Month,Aluminum window installer,Asphalter (road construction),Bar bender and fixer,Bricklayer,Building services maintenance mechanic,Carpenter (formwork),Concretor,Construction plant mechanic,Curtain wall and glass installer,Demolition worker,Drainlayer,Electrical fitter (incl. electrician),Equipment and system mechanic,False ceiling installer,Fire service mechanic,Flooring worker,Gas installer,General welder,General workers,Joiner,Leveller,Lift and escalator mechanic,Marine construction plant operator,Mechanical fitter,Metal worker,Painter and decorator,Paving block layer,Piling worker,Plant & equipment operator (general),Plant & equipment operator (heavy),Plasterer,Plumber,Refrigeration/ air-conditioning/ ventilation mechanic,Rigger/ metal formwork erector,Scaffolder,Structural steel welder,Tiler,Truck driver,Waterproofing worker
2021,Apr,1361.3,1060.5,2209.9,1335.9,1028.2,1790.6,1634.9,1160.6,1408.8,1270.8,1401.6,1251.0,1135.6,1289.3,1229.3,1000.0,1036.6,1402.1,1010.5,1296.6,1342.8,988.7,1307.8,1046.4,1335.0,1321.6,1207.7,1364.0,1186.0,1442.2,1387.5,1494.4,1195.3,1477.6,1320.8,1475.5,1431.8,910.8,1029.8
2021,May,1336.1,1104.9,2223.4,1368.5,1011.6,1787.2,1633.3,1173.8,1419.4,1317.8,1429.8,1237.9,1087.8,1344.1,1228.4,1008.9,1113.4,1398.6,1014.0,1298.9,1356.8,969.1,1331.5,1047.7,1334.2,1307.3,1207.7,1394.3,1185.8,1437.3,1391.5,1484.5,1176.9,1448.3,1334.0,1502.2,1421.6,910.9,1035.9
2021,Jun,1312.9,1118.2,2237.5,1355.2,1020.0,1804.0,1639.8,1183.3,1409.8,1148.4,1404.9,1237.7,1103.3,1359.1,1233.7,959.1,1131.1,1396.3,1018.6,1315.7,1358.7,987.2,1282.5,1037.6,1344.3,1316.2,1187.3,1373.9,1189.3,1433.3,1386.8,1488.3,1200.4,1438.1,1325.1,1494.7,1393.2,910.1,1017.1
2021,Jul,1394.4,1101.0,2215.8,1358.1,1045.7,1800.3,1625.1,1165.2,1383.6,1179.8,1413.6,1238.7,1072.9,1351.7,1231.9,997.4,946.0,1415.5,1016.9,1310.6,1357.1,994.3,1324.4,1051.0,1330.5,1314.4,1192.5,1386.8,1233.4,1433.9,1376.9,1495.7,1206.9,1428.2,1322.9,1469.6,1376.1,916.0,1067.4
2021,Aug,1346.3,1123.3,2193.3,1323.5,1050.8,1796.7,1610.2,1172.8,1411.7,1153.0,1403.6,1240.2,1114.8,1404.6,1239.7,1073.3,899.5,1416.8,1008.4,1331.5,1348.4,983.5,1289.2,1089.0,1320.7,1312.4,1212.3,1409.8,1233.9,1445.3,1395.9,1501.7,1179.6,1411.3,1310.7,1519.5,1375.3,923.4,1079.7
2021,Sep,1324.0,1132.6,2175.6,1279.9,1072.4,1811.9,1605.7,1189.0,1384.1,1168.2,1493.5,1239.4,1139.7,1371.6,1251.7,1000.0,906.4,1425.9,1019.0,1336.8,1353.6,993.9,1319.6,1047.2,1337.8,1356.0,1190.7,1430.0,1245.7,1463.2,1405.8,1526.9,1170.5,1420.5,1328.9,1521.1,1402.3,933.8,1060.7
2021,Oct,1304.0,1129.2,2204.3,1256.6,1078.6,1826.3,1606.1,1186.6,1407.6,1124.7,1478.3,1229.7,1157.8,1350.5,1247.2,1246.4,955.3,1435.6,1023.8,1346.8,1352.0,995.6,1297.8,1072.6,1345.4,1344.4,1192.9,1430.0,1237.0,1464.1,1395.9,1530.3,1159.1,1415.6,1359.1,1548.3,1371.3,924.5,1036.5
2021,Nov,1262.9,1114.2,2210.0,1288.1,1065.3,1838.8,1599.3,1183.5,1408.9,1254.0,1515.4,1230.6,1118.8,1404.8,1243.4,1179.7,1021.0,1440.4,1026.3,1365.5,1353.1,978.1,1284.6,1059.1,1339.1,1326.3,1264.8,1437.3,1248.6,1470.6,1390.9,1528.4,1169.2,1432.1,1373.7,1522.2,1301.7,924.1,1047.6
2021,Dec,1271.7,1114.4,2235.0,1270.3,1058.9,1876.6,1613.4,1182.9,1369.3,1319.2,1544.5,1237.7,1081.4,1366.3,1219.9,951.8,1021.1,1439.3,1032.6,1359.4,1379.4,963.9,1268.1,1039.5,1360.8,1327.2,1265.6,1478.6,1255.1,1483.8,1398.0,1516.7,1162.3,1433.9,1347.4,1528.2,1339.0,935.2,1039.7
2022,Jan,1301.4,1140.8,2246.2,1294.3,1022.5,1866.1,1631.2,1200.0,1395.7,1273.5,1488.9,1227.2,1070.7,1304.5,1202.5,1033.8,934.9,1434.2,1033.2,1345.5,1372.3,993.7,1272.9,1034.6,1373.3,1317.8,1259.8,1427.0,1251.2,1481.5,1392.7,1512.1,1170.6,1411.9,1338.2,1488.9,1355.5,944.0,1029.3
